age,gender,income,education,caste,loan_approved
25,Male,50000,Graduate,General,1
30,Female,35000,Post-Graduate,OBC,0
22,Male,28000,High-School,SC,0
35,Female,60000,Graduate,General,1
28,Male,42000,Post-Graduate,ST,0
40,Male,75000,Graduate,General,1
32,Female,30000,High-School,OBC,0
27,Male,55000,Post-Graduate,General,1
24,Female,22000,Graduate,SC,0
38,Male,80000,Graduate,General,1
29,Female,45000,Post-Graduate,OBC,1
33,Male,38000,High-School,ST,0
26,Female,52000,Graduate,General,1
31,Male,60000,Post-Graduate,General,1
23,Female,20000,High-School,SC,0
36,Male,70000,Graduate,General,1
34,Female,48000,Post-Graduate,OBC,1
21,Male,18000,High-School,ST,0
39,Male,85000,Graduate,General,1
28,Female,32000,Graduate,OBC,0
45,Male,90000,Post-Graduate,General,1
30,Male,55000,Graduate,General,1
26,Female,25000,High-School,SC,0
33,Female,40000,Graduate,OBC,0
37,Male,72000,Post-Graduate,General,1
29,Male,48000,Graduate,ST,0
35,Female,58000,Post-Graduate,General,1
24,Male,30000,High-School,OBC,0
42,Male,82000,Graduate,General,1
31,Female,36000,Graduate,SC,0
27,Male,44000,Post-Graduate,General,1
38,Female,65000,Graduate,General,1
23,Male,22000,High-School,ST,0
34,Male,68000,Post-Graduate,General,1
32,Female,42000,Graduate,OBC,0
36,Male,75000,Graduate,General,1
25,Female,28000,High-School,SC,0
41,Male,88000,Post-Graduate,General,1
30,Female,50000,Graduate,OBC,1
28,Male,40000,Graduate,ST,0
44,Male,95000,Graduate,General,1
33,Male,62000,Post-Graduate,General,1
29,Female,34000,High-School,SC,0
35,Female,55000,Graduate,OBC,1
37,Male,78000,Graduate,General,1
26,Male,32000,High-School,ST,0
39,Female,70000,Post-Graduate,General,1
31,Male,52000,Graduate,General,1
24,Female,24000,High-School,OBC,0
43,Male,92000,Graduate,General,1
